,,Sales Mix Report,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
BEVERAGES, , , , , , , 
ALCOHOLIC BEVERAGES, , , , , , , 
ABOVE PREMIUM, , , , , , , 
"BUD CHELADA 25CN,  Each",$3.29 ,15,$49.35 ,0.02%,$0.00 ,$0.00 ,$49.35 
"BUD LT CHELADA 25CN,  Each",$3.29 ,11,$36.19 ,0.01%,$0.00 ,$0.00 ,$36.19 
"BUD LT PLTNM 1&6/12GL, 6 Pack",$8.99 ,7,$62.93 ,0.02%,$0.00 ,$0.00 ,$62.93 
"HNRY WN PVT RSV 18/12CN, 18 Pack",$12.99 ,2,$25.98 ,0.01%,$0.00 ,$0.00 ,$25.98 
"MICHELOB ULTRA 1&6/12 GL, 6 Pack",$8.99 ,2,$17.98 ,0.01%,$0.00 ,$0.00 ,$17.98 
"MICHELOB ULTRA 12/12 GL, 12 Pack",$14.99 ,10,$149.90 ,0.05%,$0.00 ,$0.00 ,$149.90 
"MICHELOB ULTRA 18/12 CN, 18 Pack",$18.99 ,2,$37.98 ,0.01%,$0.00 ,$0.00 ,$37.98 
"MICHELOB ULTRA 25CN,  Each",$2.69 ,45,$121.05 ,0.04%,$0.00 ,$0.00 ,$121.05 
"REDDS WCKD APPLE ALE 24CN,  Each",$3.29 ,17,$55.93 ,0.02%,$0.00 ,$0.00 ,$55.93 
ABOVE PREMIUM Subtotal, ,111,$557.29 ,0.20%,$0.00 ,$0.00 ,$557.29 
BELOW PREMIUM, , , , , , , 
"BUSCH 18/16 CN, 18 Pack",$17.99 ,1,$17.99 ,0.01%,$0.00 ,$0.00 ,$17.99 
"BUSCH 40 GL,  Each",$2.79 ,14,$39.06 ,0.01%,$0.00 ,$0.00 ,$39.06 
"BUSCH LT 1&4&6/16 CN, 6 Pack",$6.49 ,5,$32.45 ,0.01%,$0.00 ,$0.00 ,$32.45 
"HAMMS 1&6/16CN, 6 Pack",$6.49 ,1,$6.49 ,0.00%,$0.00 ,$0.00 ,$6.49 
"ICEHOUSE 1&6/16 CN, 6 Pack",$5.99 ,20,$119.80 ,0.04%,$0.00 ,$0.00 ,$119.80 
"ICEHOUSE 24 CN,  Each",$2.19 ,7,$15.33 ,0.01%,$0.00 ,$0.00 ,$15.33 
"MILLER HIGH LIFE 18/12 CN, 18 Pack",$16.99 ,3,$50.97 ,0.02%,$0.00 ,$0.00 ,$50.97 
"NATURAL ICE 16 CN, 6 Pack",$5.99 ,10,$59.90 ,0.02%,$0.00 ,$0.00 ,$59.90 
"NATURAL ICE 25CN,  Each",$1.99 ,5,$9.95 ,0.00%,$0.00 ,$0.00 ,$9.95 
"PABST BLUE RIBBN 1&4&6/16CN, 6 Pack",$6.49 ,3,$19.47 ,0.01%,$0.00 ,$0.00 ,$19.47 
"PABST BLUE RIBBN 1&6&12/12CN, 12 Pack",$10.49 ,3,$31.47 ,0.01%,$0.00 ,$0.00 ,$31.47 
"PABST BLUE RIBBN 18/12CN, 18 Pack",$16.49 ,5,$82.45 ,0.03%,$0.00 ,$0.00 ,$82.45 
