"","Product.Type","Product.Subtype","Product.Class","Sales"
"1","BEVERAGES","ALCOHOLIC BEVERAGES","ABOVE PREMIUM",557.29
"2","BEVERAGES","ALCOHOLIC BEVERAGES","BELOW PREMIUM",992.39
"3","BEVERAGES","ALCOHOLIC BEVERAGES","CIDER/PERRY",39.96
"4","BEVERAGES","ALCOHOLIC BEVERAGES","CRAFT",1563.38
"5","BEVERAGES","ALCOHOLIC BEVERAGES","FAB",2250.03
"6","BEVERAGES","ALCOHOLIC BEVERAGES","IMPORT",2523.84
"7","BEVERAGES","ALCOHOLIC BEVERAGES","MALT",201.08
"8","BEVERAGES","ALCOHOLIC BEVERAGES","PREMIUM",1944.25
"9","BEVERAGES","ALCOHOLIC BEVERAGES","WINE",456.01
"10","BEVERAGES","CARBONATED WATER","CARBONATED WATER",37.66
"11","BEVERAGES","DAIRY BEVERAGES","COW MILK (PERISHABLE)",257.34
"12","BEVERAGES","DAIRY BEVERAGES","COW MILK (SHELF STABLE)",138.18
"13","BEVERAGES","DAIRY BEVERAGES","OTHER DAIRY BEVERAGE (DAIRY)",15.9
"14","BEVERAGES","DISPENSED BEVERAGES","CUSTOMER SELF-SERVE (COLD)",94.83
"15","BEVERAGES","DISPENSED BEVERAGES","CUSTOMER SELF-SERVE (FROZEN)",1.29
"16","BEVERAGES","DISPENSED BEVERAGES","CUSTOMER SELF-SERVE (HOT)",489.63
"17","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","COLA",1435.1
"18","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","ENERGY DRINK",6423.48
"19","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","ENHANCED WATER",1451.34
"20","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","FRUIT SMOOTHIE",147.19
"21","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","HEALTH AND WELLNESS",312.94
"22","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","JUICE (PARTIAL)",324.37
"23","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","JUICE (PURE)",269.58
"24","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","MEAL REPLACEMENT",32.72
"25","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","MINERAL WATER",95.83
"26","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","NON-COLA",936.45
"27","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","OTHER PKG BEVERAGE",223.05
"28","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","PURIFIED WATER",796.66
"29","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","RTD PKG COFFEE DRINK",616.31
"30","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","RTD TEA",348.83
"31","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","SPORT/ISOTONIC DRINK",1473.51
"32","BEVERAGES","PKGD NON-ALCOHOLIC BEVERAGES","SPRING WATER",373.44
